"Algorithm type","Parameters","Index size","Build Time"
10000,0.995,0.99731,3041.44,198502,222427,10,20
10000,0.99995,0.99998,1350.64,60646,521194,10,50
10000,0.99999,1,677.013,141131,1000134,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.738126
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.5233,59239.9,10369,19297,10,1
10000,0.9,0.91621,12258.2,50850,67315,10,5
10000,0.97,0.97911,6182.88,100794,118353,10,10
10000,0.995,0.99706,3116.93,199322,221037,10,20
10000,0.9999,0.99995,1267.09,61344,517232,10,50
10000,0.99995,0.99995,1267.09,61344,517232,10,50
10000,0.99999,1,666.279,141135,1000137,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.747291
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.52116,57783.8,10337,18646,10,1
10000,0.9,0.91328,12020.5,50639,67417,10,5
10000,0.97,0.97785,6063.03,100477,117925,10,10
10000,0.995,0.99698,3118.85,199049,216116,10,20
10000,0.99995,0.99996,1291.71,62904,512430,10,50
10000,0.99999,1,665.641,141135,1000139,10,200


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100000",1183514,150.007
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 10000",10000000,221.499
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.99999,1,50.6113,121640,10000065,10,500


